,TF,Target,Label
953,1137,1150,1
954,1137,629,1
955,1142,17,1
956,1150,754,1
957,1150,889,1
958,1150,780,1
959,1150,1114,1
960,1150,629,1
961,1150,82,1
962,1150,357,1
963,1150,719,1
964,1150,925,1
965,1150,751,1
966,1150,750,1
967,1150,646,1
968,1150,1100,1
969,1153,4,1
970,1157,582,1
971,1157,932,1
972,1170,877,1
973,1175,438,1
974,1175,239,1
975,1175,95,1
976,1177,434,1
977,1177,1013,1
978,1177,221,1
979,1177,150,1
980,1177,1098,1
981,1177,1044,1
982,1177,688,1
983,1177,143,1
984,1177,552,1
985,1177,907,1
986,1177,510,1
987,1177,798,1
988,1196,1100,1
989,1196,1050,1
990,1196,1114,1
991,1196,357,1
992,1198,1037,1
993,1198,849,1
994,1198,79,1
995,1198,1101,1
996,1200,57,1
997,1200,157,1
998,4,324,0
999,4,595,0
1000,4,1119,0
1001,4,559,0
1002,17,797,0
1003,17,904,0
1004,17,62,0
1005,17,921,0
1006,17,1166,0
1007,17,961,0
1008,17,1159,0
1009,17,473,0
1010,17,494,0
1011,17,784,0
1012,17,1043,0
1013,17,386,0
1014,17,750,0
1015,17,717,0
1016,17,98,0
1017,17,724,0
1018,17,624,0
1019,17,441,0
1020,23,1200,0
1021,23,603,0
1022,23,421,0
1023,27,367,0
1024,27,187,0
1025,27,243,0
1026,27,870,0
1027,30,1171,0
1028,30,50,0
1029,30,225,0
1030,30,155,0
1031,30,469,0
1032,30,824,0
1033,30,821,0
1034,30,695,0
1035,30,946,0
1036,54,699,0
1037,54,477,0
1038,54,641,0
1039,54,593,0
1040,59,869,0
1041,59,993,0
1042,59,682,0
1043,59,432,0
1044,59,1101,0
1045,59,138,0
1046,59,1185,0
1047,59,780,0
1048,59,928,0
1049,59,580,0
1050,59,221,0
1051,59,735,0
1052,59,1074,0
1053,59,647,0
1054,59,282,0
1055,59,548,0
1056,59,986,0
1057,72,220,0
1058,72,96,0
1059,72,678,0
1060,72,893,0
1061,72,134,0
1062,72,1057,0
1063,72,1035,0
1064,72,88,0
1065,78,584,0
1066,78,988,0
1067,78,1181,0
1068,79,836,0
1069,79,39,0
1070,79,316,0
1071,79,520,0
1072,79,590,0
1073,79,1179,0
1074,79,756,0
1075,79,139,0
1076,79,1076,0
1077,79,1020,0
1078,79,104,0
1079,79,977,0
1080,79,655,0
1081,80,60,0
1082,80,894,0
1083,80,194,0
1084,80,997,0
1085,80,395,0
1086,82,358,0
1087,82,813,0
1088,82,865,0
1089,82,561,0
1090,82,1153,0
1091,82,982,0
1092,82,206,0
1093,82,676,0
1094,82,454,0
1095,82,1106,0
1096,82,1087,0
1097,82,18,0
1098,95,127,0
1099,95,566,0
1100,95,113,0
1101,95,392,0
1102,95,65,0
1103,95,928,0
1104,111,844,0
1105,111,606,0
1106,111,888,0
1107,111,85,0
1108,111,482,0
1109,111,241,0
1110,111,293,0
1111,111,560,0
1112,111,1182,0
1113,111,853,0
1114,111,449,0
1115,111,1191,0
1116,111,46,0
1117,111,128,0
1118,111,583,0
1119,111,389,0
1120,111,782,0
1121,111,1103,0
1122,111,290,0
1123,111,647,0
1124,111,978,0
1125,111,630,0
1126,111,777,0
1127,111,1195,0
1128,111,1176,0
1129,111,763,0
1130,111,964,0
1131,111,1086,0
1132,111,750,0
1133,111,251,0
1134,111,161,0
1135,118,539,0
1136,118,81,0
1137,118,92,0
1138,118,401,0
1139,118,415,0
1140,118,1024,0
1141,118,36,0
1142,118,397,0
1143,118,58,0
1144,118,854,0
1145,118,906,0
1146,118,969,0
1147,118,1200,0
1148,118,333,0
1149,118,1166,0
1150,118,191,0
1151,118,31,0
1152,118,1118,0
1153,118,128,0
1154,118,1073,0
1155,118,761,0
1156,118,952,0
1157,118,920,0
1158,118,1080,0
1159,118,1194,0
1160,118,402,0
1161,118,385,0
1162,118,431,0
1163,118,605,0
1164,118,929,0
1165,118,261,0
1166,118,872,0
1167,118,871,0
1168,118,9,0
1169,118,870,0
1170,118,471,0
1171,118,321,0
1172,118,1150,0
1173,118,548,0
1174,118,195,0
1175,118,88,0
1176,118,47,0
1177,125,143,0
1178,141,106,0
1179,141,405,0
1180,141,964,0
1181,141,1099,0
1182,141,49,0
1183,141,1008,0
1184,141,116,0
1185,141,71,0
1186,141,768,0
1187,141,587,0
1188,141,225,0
1189,141,359,0
1190,141,657,0
1191,143,350,0
1192,143,274,0
1193,143,99,0
1194,143,46,0
1195,143,346,0
1196,143,174,0
1197,143,549,0
1198,143,164,0
1199,143,963,0
1200,143,628,0
1201,143,1199,0
1202,143,184,0
1203,143,648,0
1204,143,334,0
1205,143,704,0
1206,143,694,0
1207,143,685,0
1208,151,332,0
1209,151,695,0
1210,151,177,0
1211,151,831,0
1212,151,965,0
1213,151,53,0
1214,155,1198,0
1215,155,530,0
1216,161,270,0
1217,161,569,0
1218,162,484,0
1219,162,966,0
1220,162,611,0
1221,163,1129,0
1222,180,1099,0
1223,180,697,0
1224,180,307,0
1225,180,257,0
1226,180,392,0
1227,180,211,0
1228,180,505,0
1229,180,1011,0
1230,191,1102,0
1231,192,501,0
1232,192,270,0
1233,192,411,0
1234,192,1195,0
1235,202,530,0
1236,202,890,0
1237,205,1016,0
1238,206,552,0
1239,206,903,0
1240,206,1178,0
1241,206,632,0
1242,206,446,0
1243,206,733,0
1244,206,369,0
1245,206,725,0
1246,206,266,0
1247,206,816,0
1248,206,1108,0
1249,206,1148,0
1250,206,1120,0
1251,206,184,0
1252,206,697,0
1253,206,268,0
1254,206,349,0
1255,206,501,0
1256,206,700,0
1257,215,155,0
1258,215,223,0
1259,215,212,0
1260,215,488,0
1261,215,752,0
1262,215,907,0
1263,215,691,0
1264,215,503,0
1265,215,206,0
1266,216,315,0
1267,216,604,0
1268,216,226,0
1269,216,669,0
1270,217,696,0
1271,217,313,0
1272,224,1068,0
1273,233,974,0
1274,233,692,0
1275,233,1081,0
1276,233,954,0
1277,235,1060,0
1278,236,1166,0
1279,244,466,0
1280,244,98,0
1281,244,512,0
1282,244,930,0
1283,244,1032,0
1284,244,1037,0
1285,244,746,0
1286,255,128,0
1287,255,1132,0
1288,258,1032,0
1289,258,713,0
1290,258,784,0
1291,267,995,0
1292,267,203,0
1293,267,799,0
1294,267,1035,0
1295,267,923,0
1296,267,1083,0
1297,267,870,0
1298,276,275,0
1299,276,571,0
1300,276,949,0
1301,276,1154,0
1302,290,162,0
1303,290,919,0
1304,290,108,0
1305,290,579,0
1306,291,750,0
1307,291,1194,0
1308,297,2,0
1309,297,1154,0
1310,297,372,0
1311,297,901,0
1312,297,1062,0
1313,297,224,0
1314,297,375,0
1315,297,505,0
1316,297,957,0
1317,297,586,0
1318,297,1040,0
1319,297,44,0
1320,297,443,0
1321,297,864,0
1322,297,402,0
1323,297,813,0
1324,297,188,0
1325,297,995,0
1326,297,338,0
1327,297,337,0
1328,297,216,0
1329,297,680,0
1330,297,877,0
1331,297,1069,0
1332,297,18,0
1333,297,148,0
1334,297,678,0
1335,297,1066,0
1336,297,332,0
1337,297,788,0
1338,297,778,0
1339,297,330,0
1340,297,942,0
1341,297,279,0
1342,298,540,0
1343,298,736,0
1344,306,1150,0
1345,306,112,0
1346,306,199,0
1347,306,236,0
1348,306,910,0
1349,307,85,0
1350,307,848,0
1351,307,509,0
1352,307,711,0
1353,307,86,0
1354,307,516,0
1355,307,172,0
1356,307,929,0
1357,307,34,0
1358,307,992,0
1359,307,1094,0
1360,307,1142,0
1361,311,1150,0
1362,311,300,0
1363,311,650,0
1364,325,343,0
1365,332,69,0
1366,332,442,0
1367,332,1193,0
1368,332,139,0
1369,335,1202,0
1370,335,678,0
1371,340,269,0
1372,340,818,0
1373,340,74,0
1374,340,34,0
1375,340,493,0
1376,341,388,0
1377,341,509,0
1378,341,1157,0
1379,341,81,0
1380,341,1130,0
1381,357,1089,0
1382,357,180,0
1383,357,712,0
1384,357,697,0
1385,357,1097,0
1386,389,95,0
1387,389,1090,0
1388,389,94,0
1389,389,733,0
1390,394,50,0
1391,394,516,0
1392,417,426,0
1393,417,1172,0
1394,417,271,0
1395,420,340,0
1396,420,556,0
1397,436,133,0
1398,447,734,0
1399,447,397,0
1400,447,1131,0
1401,447,888,0
1402,447,876,0
1403,447,842,0
1404,447,321,0
1405,447,648,0
1406,447,473,0
1407,447,534,0
1408,447,724,0
1409,447,137,0
1410,447,1017,0
1411,447,737,0
1412,447,568,0
1413,447,13,0
1414,447,39,0
1415,447,533,0
1416,448,94,0
1417,449,246,0
1418,449,394,0
1419,449,834,0
1420,449,1023,0
1421,449,764,0
1422,449,209,0
1423,454,156,0
1424,454,583,0
1425,454,888,0
1426,461,114,0
1427,482,22,0
1428,482,386,0
1429,541,900,0
1430,543,784,0
1431,543,795,0
1432,543,1143,0
1433,543,575,0
1434,543,731,0
1435,543,217,0
1436,543,999,0
1437,543,1057,0
1438,543,1145,0
1439,543,996,0
1440,543,1053,0
1441,543,568,0
1442,543,695,0
1443,543,1152,0
1444,543,24,0
1445,543,889,0
1446,543,1092,0
1447,543,239,0
1448,543,557,0
1449,543,701,0
1450,543,964,0
1451,543,501,0
1452,543,760,0
1453,553,744,0
1454,553,928,0
1455,553,180,0
1456,555,941,0
1457,577,890,0
1458,577,400,0
1459,577,296,0
1460,577,1068,0
1461,577,1076,0
1462,577,759,0
1463,577,899,0
1464,577,687,0
1465,582,434,0
1466,582,127,0
1467,582,59,0
1468,582,289,0
1469,582,225,0
1470,582,97,0
1471,582,1048,0
1472,582,1203,0
1473,582,1013,0
1474,582,465,0
1475,588,577,0
1476,588,190,0
1477,588,386,0
1478,588,661,0
1479,588,657,0
1480,588,781,0
1481,588,842,0
1482,588,472,0
1483,588,710,0
1484,588,658,0
1485,588,179,0
1486,588,1114,0
1487,588,215,0
1488,588,471,0
1489,588,476,0
1490,588,1189,0
1491,588,502,0
1492,588,1172,0
1493,588,1161,0
1494,588,978,0
1495,588,1052,0
1496,588,375,0
1497,588,846,0
1498,588,986,0
1499,588,906,0
1500,588,449,0
1501,588,351,0
1502,588,1144,0
1503,588,399,0
1504,588,300,0
1505,588,177,0
1506,588,959,0
1507,588,494,0
1508,588,808,0
1509,588,509,0
1510,588,193,0
1511,588,459,0
1512,588,1124,0
1513,588,974,0
1514,588,773,0
1515,589,337,0
1516,589,56,0
1517,589,922,0
1518,589,565,0
1519,592,851,0
1520,592,696,0
1521,601,201,0
1522,601,531,0
1523,605,1172,0
1524,605,189,0
1525,605,221,0
1526,605,843,0
1527,605,841,0
1528,609,134,0
1529,609,902,0
1530,609,878,0
1531,609,146,0
1532,609,324,0
1533,610,812,0
1534,610,283,0
1535,610,313,0
1536,610,888,0
1537,614,121,0
1538,643,416,0
1539,646,420,0
1540,646,128,0
1541,646,927,0
1542,646,234,0
1543,646,79,0
1544,646,23,0
1545,646,717,0
1546,646,804,0
1547,658,163,0
1548,658,806,0
1549,670,602,0
1550,670,924,0
1551,670,173,0
1552,670,317,0
1553,672,420,0
1554,677,628,0
1555,677,292,0
1556,677,112,0
1557,677,810,0
1558,677,988,0
1559,677,1061,0
1560,677,399,0
1561,677,1185,0
1562,677,113,0
1563,677,832,0
1564,685,288,0
1565,685,1037,0
1566,685,1004,0
1567,685,1080,0
1568,686,740,0
1569,686,329,0
1570,686,296,0
1571,686,809,0
1572,706,856,0
1573,706,519,0
1574,706,531,0
1575,706,720,0
1576,709,350,0
1577,709,501,0
1578,714,895,0
1579,714,859,0
1580,714,330,0
1581,714,1105,0
1582,714,1075,0
1583,714,43,0
1584,714,556,0
1585,714,622,0
1586,714,614,0
1587,714,513,0
1588,714,460,0
1589,714,1091,0
1590,719,865,0
1591,719,742,0
1592,719,285,0
1593,719,636,0
1594,719,1080,0
1595,719,674,0
1596,719,115,0
1597,719,1013,0
1598,719,116,0
1599,719,679,0
1600,719,351,0
1601,719,161,0
1602,721,1169,0
1603,721,918,0
1604,721,639,0
1605,721,516,0
1606,721,592,0
1607,749,151,0
1608,749,1035,0
1609,749,520,0
1610,749,913,0
1611,749,474,0
1612,749,252,0
1613,749,257,0
1614,749,89,0
1615,749,296,0
1616,749,602,0
1617,749,356,0
